,country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.85592120941,590.505875579775,369.707232276548,357.202848575393,400.515593762192,456.37493327627294,504.059842642233,523.284410700367,609.17165368466,597.432898792278,622.740922945281,694.4234553732291,783.2412149600909,930.125472654125,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.8613808483296,2994.3404709081606,3218.37829927419,3525.80719813557,3681.84469060495,3838.17387997786,3986.2316237671293,3607.28929855361,3591.8280522163896,3914.5278543669606,4220.5403207914505,4622.738182088549,4267.452119381571
11,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.65538195914,8807.46281200101,8528.248776891629,8395.318770253709,8340.523439746908,8874.877927596071,9740.824491215859,11910.013233348,10216.8176306968,10223.2983588916,11496.5240977923,11450.724195487901,11525.156387230902,12059.6351646776,12038.2496994923,11003.829764280701,11557.671156308,11534.5675441134,
12,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,1246.69015964261,1416.54053131116,1760.8313244800302,2124.6185264814103,2392.6869579446898,2660.5580914355605,2948.31727549755,3372.60207005529,3899.3918396830104,4703.1794011843895,5463.59538268844,6454.835450917739,7076.53633490604,7347.64636864328,7602.345334144649,7745.72179961652,8136.188547274491,8771.14372746878,8406.35894515205,9030.5749776224,9491.66076559497,9940.85222769034,10260.5994054155,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.547850076899,13995.8044243845,15622.692871023799,16044.1057963132,14160.5620007335,13048.9605816199,12746.633468202099,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16673.4369025555,17113.349770508798,14449.9965204973
13,Australia,AUS,1807.7857102120602,1874.73210577126,1851.84185074588,1964.1504696359,2128.06835509202,2277.55839760436,2340.43868460617,2576.2845085275,2720.08260948799,2986.94950744786,3299.84320663058,3489.95229368358,3943.7876390396996,4763.628389681599,6473.165152973261,6994.30821815538,7476.7487477451905,7765.07054434927,8241.997275872958,9281.52335605458,10194.3945390856,11833.7432115058,12766.522252171699,11518.6685192068,12431.945848830801,11437.7131376782,11364.2394626146,11624.6209607028,14254.513564448402,17798.5563713427,18211.5000581403,18821.7952597366,18570.120461791597,17634.534752009,18046.1364806876,20319.6306283956,21861.32550987,23468.5968306374,21318.964169431798,20533.035061906998,21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.922810848504,40960.0544948199,49601.6567082178,42772.3591664498,52022.125596187594,62517.833747150304,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129006,54027.9668184568,57354.9640455891,55057.204696066605,51812.154037398795
14,Austria,AUT,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.9686060056601,1569.6671828996698,1677.6735280427201,1825.3861255212398,2058.76905087549,2380.97845801742,2924.0488789910496,3890.72241941969,4630.75719737956,5285.62072414121,5678.386658100179,6810.62768469634,8205.4689771504,9793.765348150171,10869.5464940526,9385.24906398343,9410.34725652989,9537.40742043378,8991.065039630259,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313002,22410.911766665402,24880.1641180361,24081.5277928004,25646.700659168397,30325.8495818396,29809.0767730821,26705.478599389102,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.897241165498,36821.521468009305,38403.1338770715,40635.281815972405,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51717.495940551504,44178.047377743205,45276.8314351693,47309.366273528205,51453.147023801605,50121.5542131186,48105.3646248411
15,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4586230771546,209.47298198799197,157.076754233359,314.555086536923,409.163189106479,505.500349333104,561.906807871869,573.916512334089,655.119945170816,703.683843432722,763.080637985358,883.733971498452,1045.00937916805,1578.40239029603,2473.08181863536,3851.4378687117205,5574.6038021861295,4950.29479142375,5843.533768358199,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.31038244408,3880.7387308955604,4147.08971569171,4739.841710283929,4805.75371765917,4214.3113363475
16,Burundi,BDI,70.0519098975133,71.1671882088235,73.4353308201368,78.51462075498179,86.1615495133979,51.3818812578693,52.1825516980849,54.8064431207722,54.900762077718106,55.7149339029583,69.7693841827188,71.6267098340753,69.13961473267629,84.4187820522328,94.68539953716129,113.753156119578,118.914933058734,142.05298389329,154.516273299419,193.149963916389,221.231941787803,227.12812002912602,231.343693847179,240.78170318395198,213.61684136555198,242.058503810168,245.915327496274,225.071475788735,209.41486084378897,209.89441260543097,208.146678899064,209.77801100678397,190.48887993529598,161.887525025872,156.812380979725,167.098887846036,143.402323772521,158.914669880487,144.493017302487,128.938918689721,136.46397080033998,134.363426917623,123.117536141087,113.567251308875,128.336702810905,151.681566343002,167.376462504995,172.495596648941,198.352851736367,212.137057219997,234.23553253365398,249.577972769836,252.358866309211,256.975647122635,274.857842155366,305.54964602324503,282.193028464612,292.998009548647,271.752496382505,261.24529116163995,274.009523229095
17,Belgium,BEL,1273.69165910289,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.5947655319396,1957.6260804276199,2086.63600544654,2222.3615105191298,2458.0818200377303,2765.89099664794,3082.9279887912603,3831.6318999943296,4900.96220075866,5733.798139338779,6701.37736052433,7243.04734119583,8426.94695947372,10289.7684173296,11810.6158754725,12864.0025661396,10622.8024830789,9343.861099596179,8846.23429846974,8457.26880316374,8750.818512505359,12170.0406962702,15135.852311696799,16391.093827791003,16525.0617432848,20600.3752789827,21041.6606519648,23372.619171015,22283.936021355097,24208.554793144704,28413.826438736804,27489.5551770488,24820.9380503896,25338.4432934904,25244.2750474813,23041.534729042796,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.705942976696,44262.8960009954,48106.892915788,44583.544807081395,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.540360117804,40991.8081381432,41984.103033560896,44089.310087511796,47554.7463078937,46414.4352334354,44594.3781075628
18,Benin,BEN,93.02270026776829,95.5722322308738,94.4644972423036,99.8589175338946,104.339929434072,110.132584644972,112.940836383512,111.951560996903,116.895149769939,116.02525714589198,114.556675136837,112.569975631646,134.819585121297,161.987061525057,174.01409449139703,207.30031276854402,208.656403182912,218.45398401670602,263.58143153799,327.82231216256304,378.044305113183,337.97837168528497,322.777452914962,271.129844234977,252.86978504478802,244.410941733101,303.349035603158,344.503146752797,346.736631300277,311.678045207701,393.68676796568,385.75384074547503,317.962736015867,411.926179723246,279.666751226328,367.38769523148903,387.43207525612996,361.09999947365,379.44178387283404,551.821385212542,512.673918542835,518.067478902149,574.929776196326,711.284922669436,798.744255592617,822.785201409895,856.054875766203,966.2035810124,1125.4260294301598,1088.7578516978301,1036.53459416252,1130.27318959427,1145.1400185446198,1251.20970702834,1291.4101066676699,1076.79670153022,1087.2873038485302,1136.59397046254,1240.83096186066,1219.51547853535,1291.04096203645
19,Burkina Faso,BFA,68.4247344006247,71.558180092437,76.520549314543,78.3721958330329,80.47271812073849,81.7250523247925,82.545684006557,84.3630702039477,84.7329371553071,86.5202091318263,81.5000146010762,84.2878285843207,99.326746973691,113.78034143398199,124.358896430637,152.727996774912,155.649056863891,176.78335096343898,225.941517814401,262.076009642159,282.685850096209,254.230468740772,245.09449089523,217.994602363453,193.84327313825298,200.8943517994,256.762480687544,291.131616653547,313.06159138278196,304.85352087584,351.979233521781,346.410595888327,361.046875627391,334.943236997182,193.070280195262,235.83215055348597,249.36055885540299,229.49294931301398,255.718236662883,300.42172389610903,255.718687257319,267.097599629023,294.665388546593,374.62735797047304,418.37666028192,457.933430763383,473.449868166334,535.062279451535,643.4045810230359,624.175164544582,647.836095537879,751.172770411005,758.0004269724029,787.4694383090849,792.84623742527,653.32726813947,688.250696258197,734.9962679605279,813.099689441984,786.8954376774519,830.9251446219389
