,country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14,Austria,AUT,9.20371437,9.26942921,9.3947649,9.547239300000001,9.70939827,9.62702942,9.531132699999999,9.53209686,9.72564602,10.22582531,10.22101879,10.02613258,10.19915581,10.28574944,10.36809254,10.36746693,10.3522625,10.38262367,10.32559872
15,Azerbaijan,AZE,2.94894385,2.75584769,2.73274231,2.73488688,2.66530418,2.26107669,2.06678391,1.99021435,1.93880868,2.6137836,2.48996663,2.44641805,2.96481562,3.03672314,3.37713742,4.10663605,4.03655434,3.73651457,3.51373243
16,Burundi,BDI,6.17697144,6.40484381,6.47216082,6.31327724,7.70102644,8.42368507,9.94232273,10.580811500000001,9.23542786,10.35023212,11.27638912,10.06996346,8.52668476,8.14256191,6.88927555,6.57857561,7.49265718,7.51763725,7.74165535
17,Belgium,BEL,7.9991765,8.14988804,8.3182106,9.20770645,9.36668777,9.26218891,9.16210842,9.16709423,9.63237667,10.35561562,10.23373413,10.39215851,10.50683689,10.56154251,10.44007111,10.42703342,10.28172588,10.40608311,10.31865311
18,Benin,BEN,3.09882951,3.24531007,3.039397,3.03365588,3.07281566,2.93186998,2.96771049,2.89010143,2.69258809,2.8210001,2.99474454,3.09318352,3.41449833,2.85861254,2.66743684,2.90741515,2.78015947,2.6444838,2.49141979
19,Burkina Faso,BFA,3.31752229,3.24898624,3.34058619,3.53623772,4.74466419,4.44255877,5.09151554,5.88637829,5.22738886,5.7152667,5.89295959,5.22973108,5.17797041,6.25649023,5.62491322,5.82546854,7.02782106,6.91190195,5.62852383
20,Bangladesh,BGD,2.00194621,1.98674393,2.15190268,2.19150281,2.21405101,2.27546501,2.32201099,2.38769174,2.34595656,2.4033822999999996,2.49591565,2.56593657,2.57301211,2.50334787,2.49601078,2.46311474,2.31178045,2.27522182,2.3428061000000002
21,Bulgaria,BGR,5.82971001,6.85958767,7.080986500000001,7.19987392,6.89090872,6.89011431,6.52544594,6.16035938,6.28771019,6.59886885,7.14063406,7.14162683,7.57881832,7.1707921,7.7096777,7.41338348,7.4799428,7.45326805,7.34667873
22,Bahrain,BHR,3.56132603,3.68104196,3.85486555,3.98856878,3.47338176,3.17561626,3.06248927,3.30373311,3.28510404,4.05684614,3.84291482,3.57691312,4.10642147,4.30853891,4.40681839,4.97506618,4.85823059,4.74813128,4.13356352
23,"Bahamas, The",BHS,3.80487037,3.92440891,3.81251955,4.01998568,4.04628181,4.03196478,4.30935764,4.4963069,4.8630805,5.15085459,5.25673914,5.32418823,5.31907082,5.59397602,5.67255783,5.20896244,5.61615086,6.83129883,6.24896193
24,Bosnia and Herzegovina,BIH,7.65342188,7.27702522,7.12647152,8.03272915,9.06270218,9.05223751,9.17218685,9.5306015,9.68943882,9.02212143,9.01888275,9.17856026,9.49001503,9.48689747,9.47516823,9.33953667,9.22786236,8.93159008,8.895050999999999
25,Belarus,BLR,5.46676111,5.9044199,5.81475353,5.96711493,5.93219662,6.27653837,5.76295853,5.88534021,5.47281408,5.39037848,5.65693998,4.87438536,5.245327,5.69559479,5.38793373,6.06533337,5.91054153,5.75974846,5.64426613
26,Belize,BLZ,3.92283607,4.58810091,4.65947151,4.56673813,4.43332624,4.43362761,4.51539469,5.23698997,5.59683084,5.69172812,5.59605885,5.61938047,5.33280277,5.55003977,6.10395241,5.81823015,6.04090405,5.70125389,5.69105911
27,Bermuda,BMU,,,,,,,,,,,,,,,,,,,
28,Bolivia,BOL,4.39554119,4.82522202,4.89645052,5.19709635,4.86315727,5.07408142,4.6608758,4.6968894,4.60677242,5.17444515,5.20230532,5.17306805,5.2539444,5.57465124,5.89613628,6.55064964,6.83333063,6.490194799999999,6.30102587
