,country,country_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
69,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,187.736545533186,214.41949048976502,234.081582553106,272.23148503091704,268.647250991622,296.80651796337503,272.78176283799,269.065456350007,275.998479610426,256.811997165873,293.13972766645196,356.00081785150803,346.159450750157,371.82845133661795,394.593673905735,399.500210037792,527.852030852564,445.18464132467903,448.70171240715104,,,,,,,,
70,Spain,ESP,1052.52666037013,1186.88673712441,1502.9196132915,1989.00576014477,2432.41584058698,2812.25105298924,2861.2990221707696,3161.4950662225606,3798.0825006263703,5014.67739831641,5349.223532820411,4555.82183975563,4360.54515624444,3747.41822267182,3749.52283200553,3964.01562944752,5565.2849238544295,7077.377537619971,8324.65797110842,9235.84678332592,11959.2890831157,12859.5686652373,13979.833486584199,11560.249675994099,11425.814743521001,13409.311016353899,13856.907429731498,12701.3260700858,13285.7913365244,13612.954447568998,12745.9946912447,13202.599994738799,14656.528016223701,18506.7016785749,21336.0829297621,22501.435483838,24010.209556837202,27342.827103877098,29478.211139441202,26732.5609336475,25461.526528425497,26178.4086329304,23567.2763636865,24230.4481359919,24654.4303189402,21695.623139562398,22460.5297006667,23859.4477566581,25799.0410316519,25055.2956301947
71,Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406.0520259755,3745.0022683632105,4412.74619748398,5885.170386467671,7260.07815800253,8609.34002811183,10333.3817080473,13298.7582714135,14456.521620277199,11654.881722496,11366.0254915138,13733.2963050725,13886.4198882694,15448.6906585801,16450.823175816,14201.587918093799,15040.2590944931,16712.1041244236,19074.5806245758,19446.0121439282
72,Ethiopia,ETH,,,,,,,,,,,,179.36253338035,175.92811540165198,202.190470514455,184.447089492584,215.410553321977,209.740903993703,218.273577801372,216.190815729529,218.654718690527,221.491064361994,236.50615738467002,170.254891751548,138.512778608959,95.698754791253,93.28518154448,104.360782538519,102.478440893211,85.5165782109219,93.08310316028671,96.7998031551555,94.31394494077111,80.2763320356424,71.4299330266858,91.67009650396271,116.10767040856301,144.350809576465,176.161804672055,243.436455081719,288.27976217226,260.049761306731,264.293836390508,351.871310624337,378.817470520479,441.786620360951,499.84907736550696,570.975145054495,620.934836927527,654.9041474403911,744.143476533497
73,European Union,EUU,1645.1247001720499,1845.56661816257,2211.75891609749,2844.77832754697,3169.42635102385,3652.5851049776793,3806.53368417147,4278.187351307271,5189.91914402802,6233.584171880861,6899.62720830053,5920.921985581429,5656.82049747365,5492.39972207935,5285.64430881134,5432.14164897971,7631.976467638051,9438.88877320332,10349.6469856831,10528.585515504,13097.416270638701,13497.4028372177,14770.348534435301,13381.6093394626,14147.470659362,16444.1946143902,16696.0629514763,15280.424217588301,15719.344596288202,15639.618486797099,14267.5666097624,14432.234676143999,15601.4715657821,19142.4468446019,22011.8057773172,22898.9545104483,24430.239130460097,28076.255543429903,30629.8414907554,27577.604470309103,27269.1583647062,29586.580634974103,27418.958174913398,28615.7835923981,29174.164994949,25128.564299644702,25767.0298293921,27343.093311806402,29517.0616199485,28868.176173446
74,Fragile and conflict affected situations,FCS,,,,,,,,,,,311.843339754678,512.8061039283999,486.258605411587,395.730804206196,343.14700097669896,343.180537206093,317.890893880698,297.410339816288,324.318312610539,270.531551513189,445.978489035637,468.309263375554,445.758490738996,385.408350835344,361.27836047818903,428.713564149097,433.459712378513,476.771268851343,494.652007551505,511.69939260624705,563.493365600069,566.337804176352,540.973840880101,546.361241107916,651.593760215559,781.727244909657,984.363021416808,1196.20527045406,1541.93285303982,1488.8687972265698,1695.2109469434101,1624.9525952503602,1870.99247459584,1940.93038836565,2116.00319175646,1910.09243784677,1683.8436264436903,1648.5404914368,1695.64992570287,1769.33738133909
75,Finland,FIN,2137.8932087851,2331.77729130899,2722.3061822864897,3559.9352173097495,4481.94642288249,5229.751761297371,5605.9921827488,5796.10427428073,6254.733551100489,7740.970615205121,9262.6906415285,8941.34164190529,8947.92833947558,8545.40718306989,8840.97324281945,9305.61856343377,12247.0047695289,15131.7746365378,17980.998883102,19230.1288254755,22301.939537562797,19436.2201054076,16722.711819183,13110.8610533998,15458.3823747154,20756.4481992598,20573.7769869675,20045.5263527664,21136.2494626198,21501.6317898743,20018.5062770864,20684.9818502356,22351.163596258903,26996.7979394991,31444.932332404303,32316.596832716,34285.9162775406,40123.1237231916,44029.8794351092,38635.3252788852,38271.3398592654,41749.2165628289,38731.3050104003,40448.5159117848,41116.2733682683,35090.6771664916,35774.3733273923,37786.2705105671,40882.3922660699,39812.0570709102
76,Fiji,FJI,,,,,,,,,,,1682.3558613997102,1684.6011359076801,1537.14630824918,1431.98742745988,1473.96923495703,1423.64888198249,1599.2064857633802,1436.60560588187,1345.30806057247,1432.26539145084,1569.33166092493,1616.99703362337,1767.00422258749,1874.5902512158398,2028.27932109733,2220.4535853774696,2404.52733987695,2293.6533625184197,1770.3792308122102,2049.01239312459,1868.01193794887,1800.68508677767,2068.36047859903,2555.55474095551,3037.46007185144,3364.45996863032,3242.45603329935,3622.83033877979,3735.2560057546502,3074.5855665605104,3232.86959740765,3709.56367385238,3868.92747914171,4218.53295949304,4642.47844395027,4367.46510927986,4639.261890155921,4862.88544674046,5151.95266980861,4895.5943377575895
77,France,FRA,2520.0923191979396,2789.2920513077197,3379.6999130798804,4347.241657182461,4618.2754279214705,5765.99038302458,5908.28087285251,6456.86173143339,7932.8483267006295,9568.103109083579,10840.0597305298,9419.87766430203,8844.76292401973,8357.17851603024,7859.82094701423,8199.96097393623,11472.077540620501,13855.6288971509,15038.181864286298,15025.2623857005,18479.9738153086,18285.0983771444,20137.2530664109,18927.0299322253,19873.1637137849,22820.159894307002,22951.1373511181,20809.6895358363,21532.6266208286,21426.0806360526,19294.1740353543,19356.7077000892,20631.9552542526,25269.6571397543,28831.5241746273,29725.8963820313,31165.966954621003,35446.4264723369,38533.721385463796,35101.6063390545,34362.6410780707,37138.156730722,34395.2492269055,35867.2034264034,36186.2150640916,30896.1932327535,31182.4195826358,32664.0458026278,34884.9682973104,33723.902989712995
78,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
