IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.48,,,86.35,,90.31,88.48 [86.35 – 90.31],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2005,false,Sex,Male,MLE,,,,,,,,,,88.48,,,86.38,,90.29,88.48 [86.38 – 90.29],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,SEN,Senegal,Year,2005,false,Sex,Both sexes,BTSX,,,,,,,,,,88.49,,,86.35,,90.33,88.49 [86.35 – 90.33],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,GRC,Greece,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.5,,,86.88,,89.95,88.5 [86.88 – 89.95],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.6,,,86.31,,90.55,88.6 [86.31 – 90.55],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.64,,,86.01,,90.82,88.64 [86.01 – 90.82],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,KEN,Kenya,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.65,,,86.27,,90.66,88.65 [86.27 – 90.66],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2005,false,Sex,Both sexes,BTSX,,,,,,,,,,88.68,,,86.52,,90.53,88.68 [86.52 – 90.53],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.68,,,87.07,,90.11,88.68 [87.07 – 90.11],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,BWA,Botswana,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.73,,,86.4,,90.71,88.73 [86.4 – 90.71],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.74,,,86.1,,90.93,88.74 [86.1 – 90.93],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,CHN,China,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.77,,,86.3,,90.84,88.77 [86.3 – 90.84],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,88.88,,,86.65,,90.78,88.88 [86.65 – 90.78],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.02,,,87.33,,90.52,89.02 [87.33 – 90.52],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2005,false,Sex,Both sexes,BTSX,,,,,,,,,,89.1,,,86.77,,91.06,89.1 [86.77 – 91.06],,,EN,2019-11-14T06:00:00.000Z
